-------------------------------------------------------------------------------
Unless stated otherwise, all data in the OATH Dataset is licensed under a
<a href="https://creativecommons.org/licenses/by/4.0/">Creative Commons 4.0 
Attribution License (CC BY 4.0)</a> and the accompanying source code is 
licensed under a <a href="https://opensource.org/licenses/BSD-2-Clause">
BSD-2-Clause License</a>.
In particular, all actual image data included in the tarball are modified from 
the <a href="https://www.nasa.gov/mission_pages/themis/spacecraft/asi.html">
THEMIS all-sky imagers </a>.

We thank H. Frey for giving us permission to include these data.
Copyright for these data remains with NASA.

We acknowledge NASA contract NAS5-02099 and V. Angelopoulos for use of data 
from the THEMIS Mission. Specifically: S. Mende and E. Donovan for use of the
ASI data, the CSA for logistical support in fielding and data retrieval from
the GBO stations, and NSF for support of GIMNAST through grant AGS-1004736.
-------------------------------------------------------------------------------
class2,class6,picNum,picType,rotAng
0,2,00001,discrete,334
0,2,00002,discrete,029
0,2,00003,discrete,355
0,0,00004,arc,118
0,0,00005,arc,055
0,1,00006,diffuse,012
0,1,00007,diffuse,334
0,1,00008,diffuse,029
0,1,00009,diffuse,355
0,1,00010,diffuse,024
0,1,00011,diffuse,112
0,1,00012,diffuse,106
0,1,00013,diffuse,221
0,1,00014,diffuse,246
0,1,00015,diffuse,075
0,1,00016,diffuse,105
0,1,00017,diffuse,326
0,1,00018,diffuse,173
0,1,00019,diffuse,132
0,1,00020,diffuse,249
0,1,00021,diffuse,186
0,1,00022,diffuse,078
0,1,00023,diffuse,229
0,0,00024,arc,012
0,0,00025,arc,334
0,0,00026,arc,029
0,0,00027,arc,355
0,0,00028,arc,024
0,0,00029,arc,112
0,0,00030,arc,106
0,0,00031,arc,221
0,0,00032,arc,246
0,0,00033,arc,075
0,0,00034,arc,105
0,0,00035,arc,326
0,0,00036,arc,173
0,0,00037,arc,132
0,0,00038,arc,249
0,0,00039,arc,186
0,0,00040,arc,078
0,0,00041,arc,229
0,0,00042,arc,003
0,0,00043,arc,095
0,0,00044,arc,184
0,0,00045,arc,167
0,0,00046,arc,017
0,0,00047,arc,334
0,0,00048,arc,031
0,0,00049,arc,248
0,0,00050,arc,036
0,0,00051,arc,288
0,0,00052,arc,141
0,0,00053,arc,206
0,0,00054,arc,279
0,0,00055,arc,188
0,0,00056,arc,030
0,0,00057,arc,064
0,0,00058,arc,054
0,0,00059,arc,093
0,0,00060,arc,249
0,0,00061,arc,230
0,0,00062,arc,090
0,0,00063,arc,027
0,0,00064,arc,102
0,0,00065,arc,158
0,0,00066,arc,346
0,0,00067,arc,174
0,0,00068,arc,071
0,0,00069,arc,211
0,0,00070,arc,049
0,0,00071,arc,164
0,0,00072,arc,133
0,0,00073,arc,215
0,0,00074,arc,304
0,0,00075,arc,091
0,0,00076,arc,053
0,0,00077,arc,053
0,0,00078,arc,199
0,2,00079,discrete,024
0,2,00080,discrete,112
0,2,00081,discrete,106
0,2,00082,discrete,221
0,2,00083,discrete,246
0,2,00084,discrete,075
0,2,00085,discrete,105
0,2,00086,discrete,326
0,2,00087,discrete,173
