-------------------------------------------------------------------------------
Unless stated otherwise, all data in the OATH Dataset is licensed under a
<a href="https://creativecommons.org/licenses/by/4.0/">Creative Commons 4.0 
Attribution License (CC BY 4.0)</a> and the accompanying source code is 
licensed under a <a href="https://opensource.org/licenses/BSD-2-Clause">
BSD-2-Clause License</a>.
In particular, all actual image data included in the tarball are modified from 
the <a href="https://www.nasa.gov/mission_pages/themis/spacecraft/asi.html">
THEMIS all-sky imagers </a>.

We thank H. Frey for giving us permission to include these data.
Copyright for these data remains with NASA.

We acknowledge NASA contract NAS5-02099 and V. Angelopoulos for use of data 
from the THEMIS Mission. Specifically: S. Mende and E. Donovan for use of the
ASI data, the CSA for logistical support in fielding and data retrieval from
the GBO stations, and NSF for support of GIMNAST through grant AGS-1004736.
-------------------------------------------------------------------------------
inuv 07/Jan/2013 06:01:00.0,images/scaled_cropped/00002.png
inuv 07/Jan/2013 06:01:12.0,images/scaled_cropped/00003.png
inuv 07/Jan/2013 06:05:57.0,images/scaled_cropped/00004.png
inuv 07/Jan/2013 06:06:30.0,images/scaled_cropped/00005.png
inuv 07/Jan/2013 06:09:06.0,images/scaled_cropped/00006.png
inuv 07/Jan/2013 06:09:15.0,images/scaled_cropped/00007.png
inuv 07/Jan/2013 06:11:54.0,images/scaled_cropped/00008.png
inuv 07/Jan/2013 06:12:03.0,images/scaled_cropped/00009.png
inuv 07/Jan/2013 06:12:09.0,images/scaled_cropped/00010.png
inuv 07/Jan/2013 06:12:21.0,images/scaled_cropped/00011.png
inuv 07/Jan/2013 06:12:27.0,images/scaled_cropped/00012.png
inuv 07/Jan/2013 06:13:33.0,images/scaled_cropped/00013.png
inuv 07/Jan/2013 06:13:45.0,images/scaled_cropped/00014.png
inuv 07/Jan/2013 06:14:18.0,images/scaled_cropped/00015.png
inuv 07/Jan/2013 06:14:33.0,images/scaled_cropped/00016.png
inuv 07/Jan/2013 06:15:12.0,images/scaled_cropped/00017.png
inuv 07/Jan/2013 06:15:51.0,images/scaled_cropped/00018.png
inuv 07/Jan/2013 06:16:30.0,images/scaled_cropped/00019.png
inuv 07/Jan/2013 06:18:24.0,images/scaled_cropped/00020.png
